zip,donations,total,GEOID,variable,estimate,moe,donations_per_1000
21777,105,5306.590000000001,21777,B01003_001,2360,443,44.49152542372881
21778,138,3602.839999999998,21778,B01003_001,880,260,156.81818181818184
21779,121,6273.829999999999,21779,B01003_001,1731,677,69.90179087232814
21780,106,3914.229999999999,21780,B01003_001,1975,447,53.67088607594937
21782,271,8791.65,21782,B01003_001,4389,715,61.745272271588064
21783,718,14984.93999999998,21783,B01003_001,9866,949,72.77518751266977
21784,6982,355008.319999996,21784,B01003_001,37219,1401,187.59235874150298
21787,1154,26892.229999999985,21787,B01003_001,10879,601,106.07592609614855
21788,986,20376.15,21788,B01003_001,11412,864,86.40028040658954
21791,1011,16003.319999999983,21791,B01003_001,4855,783,208.2389289392379
21793,1537,46443.080000000016,21793,B01003_001,10882,788,141.24241867303806
21794,384,21564.38999999999,21794,B01003_001,2309,465,166.30576006929408
21795,917,23988.369999999977,21795,B01003_001,9772,1035,93.83954154727795
21797,2300,90915.01000000056,21797,B01003_001,9034,775,254.5937569183086
21798,453,9415.339999999993,21798,B01003_001,2699,585,167.83994071878476
21801,2279,50766.34,21801,B01003_001,30766,1652,74.07527790417993
21804,4477,63720.600000000406,21804,B01003_001,38722,1490,115.61902794277155
21810,75,2913.13,21810,B01003_001,160,137,468.75
21811,3477,115303.71000000108,21811,B01003_001,24456,739,142.17369970559372
21813,503,11720.36,21813,B01003_001,2927,541,171.84830884865048
21814,5,267.12,21814,B01003_001,81,91,61.72839506172839
21817,551,19574.94999999999,21817,B01003_001,4138,534,133.15611406476557
21821,73,5392.68,21821,B01003_001,765,218,95.42483660130718
21822,182,10207.600000000002,21822,B01003_001,2686,755,67.75874906924795
21824,8,294.93,21824,B01003_001,253,150,31.620553359683793
21826,1033,11213.05,21826,B01003_001,5569,94,185.49111151014543
21829,6,113.99,21829,B01003_001,394,222,15.228426395939087
21830,231,9891.73,21830,B01003_001,4837,844,47.756874095513744
21835,19,622.25,21835,B01003_001,382,130,49.738219895287955
21837,85,2525.719999999999,21837,B01003_001,3165,441,26.856240126382307
21838,168,2872.4799999999996,21838,B01003_001,2219,459,75.70977917981072
21840,8,342.2,21840,B01003_001,541,357,14.78743068391867
21841,80,2151.8799999999997,21841,B01003_001,988,309,80.97165991902834
21842,6872,94323.41000000104,21842,B01003_001,10951,524,627.5226006757374
21849,320,9043.979999999998,21849,B01003_001,3366,699,95.06833036244801
21850,98,1950.46,21850,B01003_001,3628,518,27.01212789415656
21851,1760,13319.82000000002,21851,B01003_001,7072,556,248.86877828054298
21853,189,7985.15,21853,B01003_001,10659,673,17.73149451168027
21856,116,1575.8899999999996,21856,B01003_001,924,347,125.54112554112554
21861,30,750.4300000000003,21861,B01003_001,776,188,38.659793814432994
21862,7,266.86,21862,B01003_001,0,13,Inf
21863,502,14885.14,21863,B01003_001,4913,619,102.17789537960513
21864,62,422.49,21864,B01003_001,778,287,79.69151670951156
21865,553,5861.259999999992,21865,B01003_001,393,173,1407.1246819338423
21869,162,3811.920000000001,21869,B01003_001,943,213,171.79215270413573
21871,6748,28618.619999999828,21871,B01003_001,1747,313,3862.621637092158
21872,67,1340.1700000000003,21872,B01003_001,573,353,116.9284467713787
21874,289,5033.470000000003,21874,B01003_001,2222,493,130.06300630063006
21875,571,7865.319999999991,21875,B01003_001,7446,784,76.68546870803115
21901,1807,37834.40000000001,21901,B01003_001,19938,1527,90.6309559634868
21903,722,9080.169999999973,21903,B01003_001,5332,361,135.40885221305328
